100000000000000000000010000000000000000000000000000000000000000000000
000000000000000000000010000000000000000011111111111111111111111111000
000000000000000000000010000000000000110000000000000000000000000000000
000000000000000000000010000000111000000000000000000000000000000000000
001111111111110000011111111000000000000000000000000000000000000000000
000008000000000000000000000000000000000010000000000000111100000000000
100007000000000000000000000000000000000010000000000000000000000000000
000009000000000000000000000000000111000110000000000000000000000000000
001000111110000000000000000000000000000110000001111000000000001000000
000000000000000000000000000000000000001110000000000000011000011000000
000000000000000000000000000000000000001110000000000000000000111000000
111100000011111111111111111111111111111111111111111111111111111110011
000000000000000000000000000000000000000000000000000000000000000000000
000000011100000000000000000000000000000000000000000000000000000000000
000010000000000000000000000000422222260000000000000000000000000000000
000000000000000000000000000004311111156000000000000000000000000000000
000001000000000000000000000043000000005600000000000000000000000000000
000000000000000000000000000430000000000560000000000000000000000000000
000000010000000000000000004300000000000056000000000000000000000000000
000000000000000000000000043000000000000005600000000000000000000000000
000000001000000000000000430000000000000000560000000000000000000000000
000000000000000000000004300000000000000000056000000000000000000000000
000000000000:22222222223222222222222222222225222222222222222222222222
111111111111111111111111111111111111111111111111111111111111111111111


0 NO
1 ブロック
2 線路
3 右上線路
4 右上線路末端
5 右下線路
6 右下線路末端
7 パイプ背景
8 ルビー
9 サファイア		
10: エメラルド		
11; トロッコ		
12< リンゴ		
13= 栄養ドリンク	
14> 肉			
15? スイッチ		
16@ 前押しスイッチ	
17A タイマースイッチ	
18B 見本		
19C 謎			
20D ドア		
21E ミラー用レバー	
22F 送風機用レバー	
23G 送風機		
24H 鏡			
25I 風
26J ベルトコンベヤー
27K パイプ
28L 欠けたパイプ
29M ポンプ
30N 岩
31O プレス機
32P プレス
33Q レーザー投射機
34R レーザー
35S センサー
36T 電球
37U 光
38V 梯子
39W モグラモンスター
40X 呪石像
41Y 放電機下向き
42Z 放電機上向き
43[ 放電機右向き
44\ 放電機左向き
45] 電気
46^ ゴール
47_ プレイヤー位置
48` 木
49a 宝箱
50b 
51c 
